id_dico,genex:hasDico,id_conj,modele,id0,present1,id1,present2,id2,present3,id3,present4,id4,present5,id5,present6,id6,imparfait1,id7,imparfait2,id8,imparfait3,id9,imparfait4,id10,imparfait5,id11,imparfait6,id12,passeSimple1,id13,passeSimple2,id14,passeSimple3,id15,passeSimple4,id16,passeSimple5,id17,passeSimple6,id18,futurSimple1,id19,futurSimple2,id20,futurSimple3,id21,futurSimple4,id22,futurSimple5,id23,futurSimple6,id24,conditionnel1,id25,conditionnel2,id26,conditionnel3,id27,conditionnel4,id28,conditionnel5,id29,conditionnel6,id30,subjonctif1,id31,subjonctif2,id32,subjonctif3,id33,subjonctif4,id34,subjonctif5,id35,subjonctif6,id36,participe,id37,infinitif
40,33,716,savoir,0,sais,1,sais,2,sait,3,savons,4,savez,5,savent,6,savais,7,savais,8,savait,9,savions,10,saviez,11,savaient,12,sus,13,sus,14,sut,15,sûmes,16,sûtes,17,surent,18,saurai,19,sauras,20,saura,21,saurons,22,saurez,23,sauront,24,saurais,25,saurais,26,saurait,27,saurions,28,sauriez,29,sauraient,30,sache,31,saches,32,sache,33,sachions,34,sachiez,35,sachent,36,sachant,37,savoir
40,33,717,devoir,0,dois,1,dois,2,doit,3,devons,4,devez,5,doivent,6,devais,7,devais,8,devait,9,devions,10,deviez,11,devaient,12,dus,13,dus,14,dut,15,dûmes,16,dûtes,17,durent,18,devrai,19,devras,20,devra,21,devrons,22,devrez,23,devront,24,devrais,25,devrais,26,devrait,27,devrions,28,devriez,29,devraient,30,doive,31,doives,32,doive,33,devions,34,deviez,35,doivent,36,devant,37,devoir
40,33,718,pouvoir,0,eux,1,eux,2,eut,3,ouvons,4,ouvez,5,euvent,6,ouvais,7,ouvais,8,ouvait,9,ouvions,10,ouviez,11,ouvaient,12,us,13,us,14,ut,15,ûmes,16,ûtes,17,urent,18,ourrai,19,ourras,20,ourra,21,ourrons,22,ourrez,23,ourront,24,ourrais,25,ourrais,26,ourrait,27,ourrions,28,ourriez,29,ourraient,30,uisse,31,uisses,32,uisse,33,uissions,34,uissiez,35,uissent,36,ouvant,37,ouvoir
40,33,719,pleuvoir,0,- ,1,- ,2,eut,3,- ,4,- ,5,- ,6,- ,7,- ,8,euvait,9,- ,10,- ,11,- ,12,- ,13,- ,14,ut,15,- ,16,- ,17,- ,18,- ,19,- ,20,euvra,21,- ,22,- ,23,- ,24,- ,25,- ,26,euvrait,27,- ,28,- ,29,- ,30,- ,31,- ,32,euve,33,- ,34,- ,35,- ,36,euvant,37,euvoir
40,33,720,falloir,0,- ,1,- ,2,faut,3,- ,4,- ,5,- ,6,- ,7,- ,8,fallait,9,- ,10,- ,11,- ,12,- ,13,- ,14,fallut,15,- ,16,- ,17,- ,18,- ,19,- ,20,faudra,21,- ,22,- ,23,- ,24,- ,25,- ,26,faudrait,27,- ,28,- ,29,- ,30,- ,31,- ,32,faille,33,- ,34,- ,35,- ,36,- ,37,falloir
40,33,721,valoir,0,vaux,1,vaux,2,vaut,3,valons,4,valez,5,valent,6,valais,7,valais,8,valait,9,valions,10,valiez,11,valaient,12,valus,13,valus,14,valut,15,valûmes,16,valûtes,17,valurent,18,vaudrai,19,vaudras,20,vaudra,21,vaudrons,22,vaudrez,23,vaudront,24,vaudrais,25,vaudrais,26,vaudrait,27,vaudrions,28,vaudriez,29,vaudraient,30,vaille,31,vailles,32,vaille,33,valions,34,valiez,35,vaillent,36,valant,37,valoir
40,33,722,vouloir,0,eux,1,eux,2,eut,3,oulons,4,oulez,5,eulent,6,oulais,7,oulais,8,oulait,9,oulions,10,ouliez,11,oulaient,12,oulus,13,oulus,14,oulut,15,oulûmes,16,oulûtes,17,oulurent,18,oudrai,19,oudras,20,oudra,21,oudrons,22,oudrez,23,oudront,24,oudrais,25,oudrais,26,oudrait,27,oudrions,28,oudriez,29,oudraient,30,euille,31,euilles,32,euille,33,oulions,34,ouliez,35,euillent,36,oulant,37,ouloir
40,33,724,rendre,0,ds,1,ds,2,d,3,dons,4,dez,5,dent,6,dais,7,dais,8,dait,9,dions,10,diez,11,daient,12,dis,13,dis,14,dit,15,dîmes,16,dîtes,17,dirent,18,drai,19,dras,20,dra,21,drons,22,drez,23,dront,24,drais,25,drais,26,drait,27,drions,28,driez,29,draient,30,de,31,des,32,de,33,dions,34,diez,35,dent,36,dant,37,dre
40,33,725,prendre,0,ends,1,ends,2,end,3,enons,4,enez,5,ennent,6,enais,7,enais,8,enait,9,enions,10,eniez,11,enaient,12,is,13,is,14,it,15,îmes,16,îtes,17,irent,18,endrai,19,endras,20,endra,21,endrons,22,endrez,23,endront,24,endrais,25,endrais,26,endrait,27,endrions,28,endriez,29,endraient,30,enne,31,ennes,32,enne,33,enions,34,eniez,35,ennent,36,enant,37,endre
40,33,726,battre,0,bats,1,bats,2,bat,3,battons,4,battez,5,battent,6,battais,7,battais,8,battait,9,battions,10,battiez,11,battaient,12,battis,13,battis,14,battit,15,battîmes,16,battîtes,17,battirent,18,battrai,19,battras,20,battra,21,battrons,22,battrez,23,battront,24,battrais,25,battrais,26,battrait,27,battrions,28,battriez,29,battraient,30,batte,31,battes,32,batte,33,battions,34,battiez,35,battent,36,battant,37,battre
