dcterms:identifier,id_dico,genex:hasDico ^^resource,genex:hasType,dcterms:description,dcterms:title,genex:isCaract
68854,42,35,v,discuter 1,v_discuter 1,0
98973,73,42,v,discuter 1,v_discuter 1,0
168966,34,30,v,discuter 2,v_discuter 2,0
67222,42,35,v,disparaître,v_disparaître,0
59633,34,30,v,disparaître,v_disparaître,0
97334,73,42,v,disparaître,v_disparaître,0
61265,34,30,v,disparaître 1,v_disparaître 1,0
68855,42,35,v,disparaître 1,v_disparaître 1,0
98974,73,42,v,disparaître 1,v_disparaître 1,0
67223,42,35,v,disperser,v_disperser,0
59634,34,30,v,disperser,v_disperser,0
97335,73,42,v,disperser,v_disperser,0
169859,34,30,v,disperser 1,v_disperser 1,0
59635,34,30,v,disposer,v_disposer,0
67224,42,35,v,disposer,v_disposer,0
97336,73,42,v,disposer,v_disposer,0
59636,34,30,v,disputer,v_disputer,0
67225,42,35,v,disputer,v_disputer,0
97337,73,42,v,disputer,v_disputer,0
59637,34,30,v,disserter,v_disserter,0
67226,42,35,v,disserter,v_disserter,0
97338,73,42,v,disserter,v_disserter,0
59638,34,30,v,dissimuler,v_dissimuler,0
67227,42,35,v,dissimuler,v_dissimuler,0
97339,73,42,v,dissimuler,v_dissimuler,0
170348,34,30,v,dissimuler 1,v_dissimuler 1,0
158317,34,30,v,dissiper,v_dissiper,0
59639,34,30,v,dissoudre,v_dissoudre,0
67228,42,35,v,dissoudre,v_dissoudre,0
97340,73,42,v,dissoudre,v_dissoudre,0
59640,34,30,v,distinguer,v_distinguer,0
67229,42,35,v,distinguer,v_distinguer,0
97341,73,42,v,distinguer,v_distinguer,0
141231,34,30,v,distordre,v_distordre,0
59641,34,30,v,distraire,v_distraire,0
67230,42,35,v,distraire,v_distraire,0
97342,73,42,v,distraire,v_distraire,0
170202,34,30,v,distribuer,v_distribuer,0
170126,34,30,v,diviniser,v_diviniser,0
59642,34,30,v,diviser,v_diviser,0
67231,42,35,v,diviser,v_diviser,0
97343,73,42,v,diviser,v_diviser,0
168329,34,30,v,divorcer,v_divorcer,0
59643,34,30,v,dominer,v_dominer,0
67232,42,35,v,dominer,v_dominer,0
97344,73,42,v,dominer,v_dominer,0
167718,34,30,v,dompter,v_dompter,0
166875,34,30,v,dompter 1,v_dompter 1,0
59644,34,30,v,donner,v_donner,0
67233,42,35,v,donner,v_donner,0
97345,73,42,v,donner,v_donner,0
169776,34,30,v,donner 1,v_donner 1,0
170188,34,30,v,donner 2,v_donner 2,0
166571,34,30,v,dorer,v_dorer,0
59645,34,30,v,dormir,v_dormir,0
67234,42,35,v,dormir,v_dormir,0
97346,73,42,v,dormir,v_dormir,0
59646,34,30,v,doubler,v_doubler,0
67235,42,35,v,doubler,v_doubler,0
97347,73,42,v,doubler,v_doubler,0
59647,34,30,v,douter,v_douter,0
67236,42,35,v,douter,v_douter,0
